レースID(新),レースID(新/馬番無),日付S,馬名,性別,年齢,枠番,着順,騎手,多頭出し,所属,調教師,人気,間隔,前走場所,前走レース名,前クラス名,前走着順,レース名
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ32,牡,5,7,13,ほげほげ32,,(栗),ぴよぴよ32,13,5,京都,前走レースステークス32,1600万,13,今回レーストロフィー2
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ33,牡,5,8,14,ほげほげ33,,(栗),ぴよぴよ33,14,5,京都,前走レースステークス33,1600万,14,今回レーストロフィー2
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ34,牡,5,1,15,ほげほげ34,,(栗),ぴよぴよ34,15,5,京都,前走レースステークス34,1600万,15,今回レーストロフィー2
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ35,牡,5,2,16,ほげほげ35,*,(栗),ぴよぴよ35,16,5,京都,前走レースステークス35,1600万,16,今回レーストロフィー2
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ36,牡,5,3,17,ほげほげ36,,(栗),ぴよぴよ36,17,5,京都,前走レースステークス36,1600万,17,今回レーストロフィー2
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ37,牡,5,4,18,ほげほげ37,,(栗),ぴよぴよ37,18,5,京都,前走レースステークス37,1600万,18,今回レーストロフィー2
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ38,牡,5,5,1,ほげほげ38,,(栗),ぴよぴよ38,1,5,京都,前走レースステークス38,1600万,1,今回レーストロフィー3
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ39,牡,5,6,2,ほげほげ39,,(栗),ぴよぴよ39,2,5,京都,前走レースステークス39,1600万,2,今回レーストロフィー3
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ40,牡,5,7,3,ほげほげ40,,(栗),ぴよぴよ40,3,5,京都,前走レースステークス40,1600万,3,今回レーストロフィー3
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ41,牡,5,8,4,ほげほげ41,*,(栗),ぴよぴよ41,4,5,京都,前走レースステークス41,1600万,4,今回レーストロフィー3
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ42,牡,5,1,5,ほげほげ42,,(栗),ぴよぴよ42,5,5,京都,前走レースステークス42,1600万,5,今回レーストロフィー3
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ43,牡,5,2,6,ほげほげ43,,(栗),ぴよぴよ43,6,5,京都,前走レースステークス43,1600万,6,今回レーストロフィー3
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ44,牡,5,3,7,ほげほげ44,,(栗),ぴよぴよ44,7,5,京都,前走レースステークス44,1600万,7,今回レーストロフィー3
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ45,牡,5,4,8,ほげほげ45,,(栗),ぴよぴよ45,8,5,京都,前走レースステークス45,1600万,8,今回レーストロフィー3
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ46,牡,5,5,9,ほげほげ46,,(栗),ぴよぴよ46,9,5,京都,前走レースステークス46,1600万,9,今回レーストロフィー3
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ47,牡,5,6,10,ほげほげ47,,(栗),ぴよぴよ47,10,5,京都,前走レースステークス47,1600万,10,今回レーストロフィー3
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ48,牡,5,7,11,ほげほげ48,,(栗),ぴよぴよ48,11,5,京都,前走レースステークス48,1600万,11,今回レーストロフィー3
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ49,牡,5,8,12,ほげほげ49,,(栗),ぴよぴよ49,12,5,京都,前走レースステークス49,1600万,12,今回レーストロフィー3
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ50,牡,5,1,13,ほげほげ50,,(栗),ぴよぴよ50,13,5,京都,前走レースステークス50,1600万,13,今回レーストロフィー3
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ51,牡,5,2,14,ほげほげ51,,(栗),ぴよぴよ51,14,5,京都,前走レースステークス51,1600万,14,今回レーストロフィー3
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ52,牡,5,3,15,ほげほげ52,,(栗),ぴよぴよ52,15,5,京都,前走レースステークス52,1600万,15,今回レーストロフィー3
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ53,牡,5,4,16,ほげほげ53,,(栗),ぴよぴよ53,16,5,京都,前走レースステークス53,1600万,16,今回レーストロフィー3
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ54,牡,5,5,17,ほげほげ54,,(栗),ぴよぴよ54,17,5,京都,前走レースステークス54,1600万,17,今回レーストロフィー3
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ55,牡,5,6,18,ほげほげ55,,(栗),ぴよぴよ55,18,5,京都,前走レースステークス55,1600万,18,今回レーストロフィー3
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ56,牡,5,7,1,ほげほげ56,,(栗),ぴよぴよ56,1,5,京都,前走レースステークス56,1600万,1,今回レーストロフィー4
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ57,牡,5,8,2,ほげほげ57,,(栗),ぴよぴよ57,2,5,京都,前走レースステークス57,1600万,2,今回レーストロフィー4
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ58,牡,5,1,3,ほげほげ58,*,(栗),ぴよぴよ58,3,5,京都,前走レースステークス58,1600万,3,今回レーストロフィー4
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ59,牡,5,2,4,ほげほげ59,*,(栗),ぴよぴよ59,4,5,京都,前走レースステークス59,1600万,4,今回レーストロフィー4
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ60,牡,5,3,5,ほげほげ60,,(栗),ぴよぴよ60,5,5,京都,前走レースステークス60,1600万,5,今回レーストロフィー4
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ61,牡,5,4,6,ほげほげ61,,(栗),ぴよぴよ61,6,5,京都,前走レースステークス61,1600万,6,今回レーストロフィー4
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ62,牡,5,5,7,ほげほげ62,,(栗),ぴよぴよ62,7,5,京都,前走レースステークス62,1600万,7,今回レーストロフィー4
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ63,牡,5,6,8,ほげほげ63,,(栗),ぴよぴよ63,8,5,京都,前走レースステークス63,1600万,8,今回レーストロフィー4
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ64,牡,5,7,9,ほげほげ64,,(栗),ぴよぴよ64,9,5,京都,前走レースステークス64,1600万,9,今回レーストロフィー4
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ65,牡,5,8,10,ほげほげ65,,(栗),ぴよぴよ65,10,5,京都,前走レースステークス65,1600万,10,今回レーストロフィー4
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ66,牡,5,1,11,ほげほげ66,,(栗),ぴよぴよ66,11,5,京都,前走レースステークス66,1600万,11,今回レーストロフィー4
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ67,牡,5,2,12,ほげほげ67,,(栗),ぴよぴよ67,12,5,京都,前走レースステークス67,1600万,12,今回レーストロフィー4
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ68,牡,5,3,13,ほげほげ68,,(栗),ぴよぴよ68,13,5,京都,前走レースステークス68,1600万,13,今回レーストロフィー4
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ69,牡,5,4,14,ほげほげ69,,(栗),ぴよぴよ69,14,5,京都,前走レースステークス69,1600万,14,今回レーストロフィー4
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ70,牡,5,5,15,ほげほげ70,,(栗),ぴよぴよ70,15,5,京都,前走レースステークス70,1600万,15,今回レーストロフィー4
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ71,牡,5,6,16,ほげほげ71,,(栗),ぴよぴよ71,16,5,京都,前走レースステークス71,1600万,16,今回レーストロフィー4
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ72,牡,5,7,17,ほげほげ72,,(栗),ぴよぴよ72,17,5,京都,前走レースステークス72,1600万,17,今回レーストロフィー4
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ73,牡,5,8,18,ほげほげ73,,(栗),ぴよぴよ73,18,5,京都,前走レースステークス73,1600万,18,今回レーストロフィー4
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ74,牡,5,1,1,ほげほげ74,,(栗),ぴよぴよ74,1,5,京都,前走レースステークス74,1600万,1,今回レーストロフィー5
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ75,牡,5,2,2,ほげほげ75,,(栗),ぴよぴよ75,2,5,京都,前走レースステークス75,1600万,2,今回レーストロフィー5
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ76,牡,5,3,3,ほげほげ76,,(栗),ぴよぴよ76,3,5,京都,前走レースステークス76,1600万,3,今回レーストロフィー5
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ77,牡,5,4,4,ほげほげ77,,(栗),ぴよぴよ77,4,5,京都,前走レースステークス77,1600万,4,今回レーストロフィー5
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ78,牡,5,5,5,ほげほげ78,,(栗),ぴよぴよ78,5,5,京都,前走レースステークス78,1600万,5,今回レーストロフィー5
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ79,牡,5,6,6,ほげほげ79,,(栗),ぴよぴよ79,6,5,京都,前走レースステークス79,1600万,6,今回レーストロフィー5
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ80,牡,5,7,7,ほげほげ80,,(栗),ぴよぴよ80,7,5,京都,前走レースステークス80,1600万,7,今回レーストロフィー5
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ81,牡,5,8,8,ほげほげ81,*,(栗),ぴよぴよ81,8,5,京都,前走レースステークス81,1600万,8,今回レーストロフィー5
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ82,牡,5,1,9,ほげほげ82,,(栗),ぴよぴよ82,9,5,京都,前走レースステークス82,1600万,9,今回レーストロフィー5
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ83,牡,5,2,10,ほげほげ83,,(栗),ぴよぴよ83,10,5,京都,前走レースステークス83,1600万,10,今回レーストロフィー5
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ84,牡,5,3,11,ほげほげ84,,(栗),ぴよぴよ84,11,5,京都,前走レースステークス84,1600万,11,今回レーストロフィー5
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ85,牡,5,4,12,ほげほげ85,,(栗),ぴよぴよ85,12,5,京都,前走レースステークス85,1600万,12,今回レーストロフィー5
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ86,牡,5,5,13,ほげほげ86,,(栗),ぴよぴよ86,13,5,京都,前走レースステークス86,1600万,13,今回レーストロフィー5
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ87,牡,5,6,14,ほげほげ87,*,(栗),ぴよぴよ87,14,5,京都,前走レースステークス87,1600万,14,今回レーストロフィー5
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ88,牡,5,7,15,ほげほげ88,,(栗),ぴよぴよ88,15,5,京都,前走レースステークス88,1600万,15,今回レーストロフィー5
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ89,牡,5,8,16,ほげほげ89,*,(栗),ぴよぴよ89,16,5,京都,前走レースステークス89,1600万,16,今回レーストロフィー5
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ90,牡,5,1,17,ほげほげ90,,(栗),ぴよぴよ90,17,5,京都,前走レースステークス90,1600万,17,今回レーストロフィー5
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ91,牡,5,2,18,ほげほげ91,,(栗),ぴよぴよ91,18,5,京都,前走レースステークス91,1600万,18,今回レーストロフィー5
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ92,牡,5,3,1,ほげほげ92,,(栗),ぴよぴよ92,1,5,京都,前走レースステークス92,1600万,1,今回レーストロフィー6
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ93,牡,5,4,2,ほげほげ93,,(栗),ぴよぴよ93,2,5,京都,前走レースステークス93,1600万,2,今回レーストロフィー6
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ94,牡,5,5,3,ほげほげ94,,(栗),ぴよぴよ94,3,5,京都,前走レースステークス94,1600万,3,今回レーストロフィー6
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ95,牡,5,6,4,ほげほげ95,,(栗),ぴよぴよ95,4,5,京都,前走レースステークス95,1600万,4,今回レーストロフィー6
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ96,牡,5,7,5,ほげほげ96,,(栗),ぴよぴよ96,5,5,京都,前走レースステークス96,1600万,5,今回レーストロフィー6
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ97,牡,5,8,6,ほげほげ97,,(栗),ぴよぴよ97,6,5,京都,前走レースステークス97,1600万,6,今回レーストロフィー6
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ98,牡,5,1,7,ほげほげ98,,(栗),ぴよぴよ98,7,5,京都,前走レースステークス98,1600万,7,今回レーストロフィー6
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ99,牡,5,2,8,ほげほげ99,*,(栗),ぴよぴよ99,8,5,京都,前走レースステークス99,1600万,8,今回レーストロフィー6
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ100,牡,5,3,9,ほげほげ100,,(栗),ぴよぴよ100,9,5,京都,前走レースステークス100,1600万,9,今回レーストロフィー6
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ101,牡,5,4,10,ほげほげ101,,(栗),ぴよぴよ101,10,5,京都,前走レースステークス101,1600万,10,今回レーストロフィー6
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ102,牡,5,5,11,ほげほげ102,,(栗),ぴよぴよ102,11,5,京都,前走レースステークス102,1600万,11,今回レーストロフィー6
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ103,牡,5,6,12,ほげほげ103,,(栗),ぴよぴよ103,12,5,京都,前走レースステークス103,1600万,12,今回レーストロフィー6
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ104,牡,5,7,13,ほげほげ104,*,(栗),ぴよぴよ104,13,5,京都,前走レースステークス104,1600万,13,今回レーストロフィー6
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ105,牡,5,8,14,ほげほげ105,,(栗),ぴよぴよ105,14,5,京都,前走レースステークス105,1600万,14,今回レーストロフィー6
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ106,牡,5,1,15,ほげほげ106,,(栗),ぴよぴよ106,15,5,京都,前走レースステークス106,1600万,15,今回レーストロフィー6
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ107,牡,5,2,16,ほげほげ107,,(栗),ぴよぴよ107,16,5,京都,前走レースステークス107,1600万,16,今回レーストロフィー6
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ108,牡,5,3,17,ほげほげ108,,(栗),ぴよぴよ108,17,5,京都,前走レースステークス108,1600万,17,今回レーストロフィー6
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ109,牡,5,4,18,ほげほげ109,,(栗),ぴよぴよ109,18,5,京都,前走レースステークス109,1600万,18,今回レーストロフィー6
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ110,牡,5,5,1,ほげほげ110,,(栗),ぴよぴよ110,1,5,京都,前走レースステークス110,1600万,1,今回レーストロフィー7
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ111,牡,5,6,2,ほげほげ111,,(栗),ぴよぴよ111,2,5,京都,前走レースステークス111,1600万,2,今回レーストロフィー7
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ112,牡,5,7,3,ほげほげ112,,(栗),ぴよぴよ112,3,5,京都,前走レースステークス112,1600万,3,今回レーストロフィー7
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ113,牡,5,8,4,ほげほげ113,,(栗),ぴよぴよ113,4,5,京都,前走レースステークス113,1600万,4,今回レーストロフィー7
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ114,牡,5,1,5,ほげほげ114,,(栗),ぴよぴよ114,5,5,京都,前走レースステークス114,1600万,5,今回レーストロフィー7
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ115,牡,5,2,6,ほげほげ115,,(栗),ぴよぴよ115,6,5,京都,前走レースステークス115,1600万,6,今回レーストロフィー7
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ116,牡,5,3,7,ほげほげ116,,(栗),ぴよぴよ116,7,5,京都,前走レースステークス116,1600万,7,今回レーストロフィー7
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ117,牡,5,4,8,ほげほげ117,,(栗),ぴよぴよ117,8,5,京都,前走レースステークス117,1600万,8,今回レーストロフィー7
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ118,牡,5,5,9,ほげほげ118,,(栗),ぴよぴよ118,9,5,京都,前走レースステークス118,1600万,9,今回レーストロフィー7
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ119,牡,5,6,10,ほげほげ119,,(栗),ぴよぴよ119,10,5,京都,前走レースステークス119,1600万,10,今回レーストロフィー7
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ120,牡,5,7,11,ほげほげ120,,(栗),ぴよぴよ120,11,5,京都,前走レースステークス120,1600万,11,今回レーストロフィー7
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ121,牡,5,8,12,ほげほげ121,*,(栗),ぴよぴよ121,12,5,京都,前走レースステークス121,1600万,12,今回レーストロフィー7
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ122,牡,5,1,13,ほげほげ122,,(栗),ぴよぴよ122,13,5,京都,前走レースステークス122,1600万,13,今回レーストロフィー7
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ123,牡,5,2,14,ほげほげ123,,(栗),ぴよぴよ123,14,5,京都,前走レースステークス123,1600万,14,今回レーストロフィー7
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ124,牡,5,3,15,ほげほげ124,,(栗),ぴよぴよ124,15,5,京都,前走レースステークス124,1600万,15,今回レーストロフィー7
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ125,牡,5,4,16,ほげほげ125,,(栗),ぴよぴよ125,16,5,京都,前走レースステークス125,1600万,16,今回レーストロフィー7
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ126,牡,5,5,17,ほげほげ126,,(栗),ぴよぴよ126,17,5,京都,前走レースステークス126,1600万,17,今回レーストロフィー7
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ127,牡,5,6,18,ほげほげ127,,(栗),ぴよぴよ127,18,5,京都,前走レースステークス127,1600万,18,今回レーストロフィー7
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ128,牡,5,7,1,ほげほげ128,,(栗),ぴよぴよ128,1,5,京都,前走レースステークス128,1600万,1,今回レーストロフィー8
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ129,牡,5,8,2,ほげほげ129,,(栗),ぴよぴよ129,2,5,京都,前走レースステークス129,1600万,2,今回レーストロフィー8
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ130,牡,5,1,3,ほげほげ130,,(栗),ぴよぴよ130,3,5,京都,前走レースステークス130,1600万,3,今回レーストロフィー8
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ131,牡,5,2,4,ほげほげ131,,(栗),ぴよぴよ131,4,5,京都,前走レースステークス131,1600万,4,今回レーストロフィー8
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ132,牡,5,3,5,ほげほげ132,,(栗),ぴよぴよ132,5,5,京都,前走レースステークス132,1600万,5,今回レーストロフィー8
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ133,牡,5,4,6,ほげほげ133,,(栗),ぴよぴよ133,6,5,京都,前走レースステークス133,1600万,6,今回レーストロフィー8
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ134,牡,5,5,7,ほげほげ134,,(栗),ぴよぴよ134,7,5,京都,前走レースステークス134,1600万,7,今回レーストロフィー8
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ135,牡,5,6,8,ほげほげ135,,(栗),ぴよぴよ135,8,5,京都,前走レースステークス135,1600万,8,今回レーストロフィー8
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ136,牡,5,7,9,ほげほげ136,,(栗),ぴよぴよ136,9,5,京都,前走レースステークス136,1600万,9,今回レーストロフィー8
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ137,牡,5,8,10,ほげほげ137,,(栗),ぴよぴよ137,10,5,京都,前走レースステークス137,1600万,10,今回レーストロフィー8
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ138,牡,5,1,11,ほげほげ138,,(栗),ぴよぴよ138,11,5,京都,前走レースステークス138,1600万,11,今回レーストロフィー8
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ139,牡,5,2,12,ほげほげ139,,(栗),ぴよぴよ139,12,5,京都,前走レースステークス139,1600万,12,今回レーストロフィー8
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ140,牡,5,3,13,ほげほげ140,,(栗),ぴよぴよ140,13,5,京都,前走レースステークス140,1600万,13,今回レーストロフィー8
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ141,牡,5,4,14,ほげほげ141,,(栗),ぴよぴよ141,14,5,京都,前走レースステークス141,1600万,14,今回レーストロフィー8
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ142,牡,5,5,15,ほげほげ142,,(栗),ぴよぴよ142,15,5,京都,前走レースステークス142,1600万,15,今回レーストロフィー8
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ143,牡,5,6,16,ほげほげ143,,(栗),ぴよぴよ143,16,5,京都,前走レースステークス143,1600万,16,今回レーストロフィー8
